Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Puntuacion(exceptional),Puntuacion(recommended),Puntuacion(meh),Puntuacion(skip)
PC,2016,Shooter,0.25,0.24,0.0,0.04,0.53,4.15,40.26,42.49,13.36,3.9
PS3,2012,Action,0.59,1.05,0.07,0.44,2.14,3.73,13.86,57.62,22.21,6.31
X360,2012,Action,0.68,0.88,0.01,0.17,1.73,3.73,13.86,57.62,22.21,6.31
PC,2012,Action,0.03,0.17,0.0,0.04,0.24,3.73,13.86,57.62,22.21,6.31
SNES,1996,Role-Playing,0.66,0.0,1.45,0.03,2.14,4.37,56.67,33.33,5.0,5.0
PSP,2007,Shooter,0.52,1.02,0.0,0.59,2.13,3.32,12.154,63.16,21.05,15.79
GBA,2003,Role-Playing,0.82,0.37,0.89,0.05,2.13,4.33,42.22,53.33,2.22,2.22
PS2,2002,Racing,1.68,0.31,0.02,0.09,2.11,3.98,17.53,65.34,15.94,1.2
XB,2002,Racing,0.68,0.11,0.0,0.03,0.82,3.98,17.53,65.34,15.94,1.2
GC,2002,Racing,0.68,0.09,0.0,0.02,0.8,3.98,17.53,65.34,15.94,1.2
PS,1998,Role-Playing,0.94,0.07,1.05,0.04,2.1,4.38,56.36,32.73,7.27,3.64
PS2,2005,Action,0.99,0.63,0.29,0.19,2.09,4.41,57.99,32.82,5.47,3.72
X360,2010,Action,1.84,0.12,0.01,0.13,2.09,3.61,11.11,66.67,8.33,13.89
PS3,2010,Action,1.41,0.2,0.03,0.16,1.8,3.61,11.11,66.67,8.33,13.89
Wii,2010,Action,0.46,0.01,0.0,0.03,0.49,3.61,11.11,66.67,8.33,13.89
PSP,2010,Action,0.39,0.0,0.0,0.03,0.42,3.61,11.11,66.67,8.33,13.89
PS2,2010,Action,0.34,0.01,0.0,0.06,0.41,3.61,11.11,66.67,8.33,13.89
PC,2010,Action,0.18,0.0,0.0,0.01,0.19,3.61,11.11,66.67,8.33,13.89
PS4,2015,Action,0.96,0.67,0.12,0.34,2.09,4.09,29.94,53.32,14.64,2.1
XOne,2015,Action,0.86,0.3,0.01,0.12,1.29,4.09,29.94,53.32,14.64,2.1
PC,2015,Action,0.12,0.06,0.0,0.02,0.2,4.09,29.94,53.32,14.64,2.1
X360,2006,Action,1.16,0.64,0.08,0.2,2.08,3.68,15.41,52.62,24.13,7.85
PC,2010,Role-Playing,1.77,0.32,0.0,0.0,2.08,4.04,27.22,54.44,15.98,2.37
GC,2003,Misc,0.97,0.33,0.73,0.06,2.08,4.03,21.05,71.05,2.63,5.26
PC,1994,Strategy,0.89,1.08,0.0,0.11,2.08,3.86,12.16,68.24,16.22,3.38
3DS,2013,Role-Playing,0.89,0.58,0.46,0.14,2.08,4.1,27.08,60.42,10.42,2.08
X360,2011,Shooter,1.41,0.49,0.01,0.17,2.08,4.61,70.38,24.83,2.68,2.12
PS3,2011,Shooter,0.83,0.6,0.02,0.24,1.7,4.61,70.38,24.83,2.68,2.12
PC,2011,Shooter,0.33,0.32,0.0,0.1,0.76,4.61,70.38,24.83,2.68,2.12
DS,2006,Simulation,0.92,0.93,0.0,0.22,2.07,3.9,18.0,66.0,10.0,6.0
PSP,2006,Simulation,0.19,0.38,0.0,0.22,0.79,3.9,18.0,66.0,10.0,6.0
PS2,2006,Simulation,0.02,0.01,0.0,0.27,0.3,3.9,18.0,66.0,10.0,6.0
GC,2006,Simulation,0.21,0.05,0.0,0.01,0.27,3.9,18.0,66.0,10.0,6.0
PC,2006,Simulation,0.01,0.02,0.0,0.01,0.04,3.9,18.0,66.0,10.0,6.0
X360,2009,Fighting,1.48,0.39,0.0,0.19,2.06,3.24,13.73,35.29,31.37,19.61
PS3,2009,Fighting,1.07,0.44,0.01,0.24,1.76,3.24,13.73,35.29,31.37,19.61
PSP,2010,Action,0.46,0.41,0.96,0.24,2.06,4.08,35.87,44.02,16.3,3.8
Wii,2010,Platform,1.42,0.09,0.45,0.1,2.06,3.97,21.21,57.58,19.7,1.52
X360,2010,Action,1.2,0.62,0.04,0.19,2.06,3.82,14.24,61.82,20.03,3.91
PC,2010,Action,0.0,0.08,0.0,0.02,0.11,3.82,14.24,61.82,20.03,3.91
PS2,2005,Action,0.71,1.02,0.0,0.31,2.04,3.91,20.95,56.08,19.59,3.38
XB,2005,Action,0.34,0.17,0.0,0.02,0.53,3.91,20.95,56.08,19.59,3.38
X360,2005,Action,0.2,0.03,0.0,0.02,0.26,3.91,20.95,56.08,19.59,3.38
GC,2005,Action,0.19,0.05,0.0,0.01,0.24,3.91,20.95,56.08,19.59,3.38
PSP,2005,Action,0.16,0.01,0.0,0.02,0.19,3.91,20.95,56.08,19.59,3.38
DS,2005,Action,0.12,0.0,0.0,0.01,0.13,3.91,20.95,56.08,19.59,3.38
X360,2011,Misc,1.45,0.41,0.01,0.16,2.04,3.67,22.22,44.44,22.22,11.11
X360,2005,Shooter,1.82,0.04,0.01,0.16,2.03,4.21,31.02,61.2,6.71,1.08
PC,2005,Shooter,0.0,0.05,0.0,0.01,0.06,4.21,31.02,61.2,6.71,1.08
PS3,2011,Role-Playing,0.75,0.51,0.54,0.22,2.02,4.33,60.07,23.78,10.69,5.46
X360,2011,Role-Playing,0.64,0.27,0.0,0.09,0.99,4.33,60.07,23.78,10.69,5.46
PS3,2011,Action,0.58,1.04,0.03,0.36,2.01,3.72,14.52,53.49,26.61,5.38
X360,2011,Action,0.63,0.57,0.0,0.15,1.36,3.72,14.52,53.49,26.61,5.38
PC,2011,Action,0.09,0.21,0.0,0.07,0.36,3.72,14.52,53.49,26.61,5.38
Wii,2011,Action,0.11,0.12,0.01,0.03,0.27,3.72,14.52,53.49,26.61,5.38
3DS,2011,Action,0.09,0.09,0.0,0.02,0.19,3.72,14.52,53.49,26.61,5.38
Wii,2014,Misc,0.99,0.85,0.0,0.17,2.01,3.63,11.11,59.26,20.37,9.26
WiiU,2014,Misc,0.38,0.29,0.0,0.06,0.73,3.63,11.11,59.26,20.37,9.26
X360,2014,Misc,0.42,0.13,0.0,0.06,0.6,3.63,11.11,59.26,20.37,9.26
XOne,2014,Misc,0.35,0.13,0.0,0.05,0.53,3.63,11.11,59.26,20.37,9.26
PS4,2014,Misc,0.19,0.13,0.0,0.07,0.39,3.63,11.11,59.26,20.37,9.26
PS3,2014,Misc,0.13,0.08,0.0,0.04,0.25,3.63,11.11,59.26,20.37,9.26
PS4,2014,Role-Playing,0.73,0.88,0.08,0.32,2.01,3.79,22.82,47.02,23.44,6.73
XOne,2014,Role-Playing,0.56,0.28,0.0,0.09,0.93,3.79,22.82,47.02,23.44,6.73
PC,2014,Role-Playing,0.33,0.34,0.0,0.06,0.73,3.79,22.82,47.02,23.44,6.73
PS3,2014,Role-Playing,0.27,0.18,0.05,0.09,0.6,3.79,22.82,47.02,23.44,6.73
X360,2014,Role-Playing,0.36,0.12,0.0,0.05,0.53,3.79,22.82,47.02,23.44,6.73
PS3,2008,Fighting,1.48,0.28,0.0,0.23,2.0,3.28,4.59,37.76,47.96,9.69
X360,2008,Fighting,1.53,0.23,0.0,0.16,1.93,3.28,4.59,37.76,47.96,9.69
DS,2009,Role-Playing,1.06,0.26,0.53,0.13,1.98,3.77,14.52,54.84,27.42,3.23
PS4,2013,Racing,0.73,0.92,0.03,0.3,1.98,3.16,4.41,35.59,45.83,14.17
PS3,2013,Racing,0.33,0.69,0.05,0.19,1.27,3.16,4.41,35.59,45.83,14.17
X360,2013,Racing,0.37,0.35,0.01,0.07,0.79,3.16,4.41,35.59,45.83,14.17
XOne,2013,Racing,0.46,0.17,0.0,0.07,0.69,3.16,4.41,35.59,45.83,14.17
PC,2013,Racing,0.04,0.19,0.0,0.02,0.25,3.16,4.41,35.59,45.83,14.17
PS2,2002,Platform,0.74,0.95,0.0,0.28,1.97,3.0,24.972692307692306,51.28,23.08,25.64
GC,2002,Platform,0.55,0.14,0.0,0.02,0.71,3.0,21.830624999999998,51.28,23.08,25.64
PS2,2003,Action,0.71,0.58,0.51,0.17,1.97,2.49,5.08,19.07,35.59,40.25
NES,1985,Sports,0.18,0.23,1.53,0.02,1.96,3.44,7.41,37.04,51.85,3.7
X360,2012,Racing,0.82,0.93,0.04,0.18,1.96,4.36,50.89,40.53,5.33,3.25
PS2,2003,Racing,0.74,1.01,0.0,0.2,1.95,3.86,16.28,62.79,16.28,4.65
GBA,2003,Racing,0.33,0.12,0.0,0.01,0.46,3.86,16.28,62.79,16.28,4.65
XB,2003,Racing,0.24,0.07,0.0,0.01,0.31,3.86,16.28,62.79,16.28,4.65
GC,2003,Racing,0.2,0.05,0.0,0.01,0.26,3.86,16.28,62.79,16.28,4.65
PS3,2008,Racing,1.01,0.62,0.02,0.29,1.94,4.09,29.83,54.75,12.71,2.71
X360,2008,Racing,0.63,0.57,0.01,0.14,1.35,4.09,29.83,54.75,12.71,2.71
PS2,2004,Fighting,1.09,0.15,0.65,0.04,1.94,4.33,40.48,52.38,7.14,9.066363636363635
X360,2013,Shooter,1.22,0.54,0.02,0.16,1.93,4.39,55.43,33.14,8.73,2.7
PS3,2013,Shooter,0.72,0.65,0.04,0.28,1.69,4.39,55.43,33.14,8.73,2.7
PC,2013,Shooter,0.29,0.3,0.0,0.07,0.66,4.39,55.43,33.14,8.73,2.7
PS2,2004,Role-Playing,1.0,0.72,0.0,0.21,1.93,4.05,31.82,50.0,13.64,4.55
XB,2004,Role-Playing,0.62,0.24,0.0,0.04,0.9,4.05,31.82,50.0,13.64,4.55
GC,2004,Role-Playing,0.41,0.11,0.0,0.01,0.53,4.05,31.82,50.0,13.64,4.55
GB,2001,Action,0.92,0.53,0.41,0.06,1.92,4.25,34.48,56.32,9.2,1.84
PS2,2001,Shooter,0.76,0.96,0.0,0.2,1.92,3.9,18.04,61.18,17.25,3.53
PC,2003,Simulation,1.03,0.8,0.0,0.09,1.92,4.15,43.4,39.62,11.32,5.66
N64,2000,Misc,0.72,0.16,1.01,0.02,1.91,4.05,25.86,60.34,10.34,3.45
PS4,2014,Platform,0.66,0.93,0.01,0.31,1.91,3.5,8.18,51.82,30.95,9.05
PS3,2014,Platform,0.2,0.33,0.01,0.1,0.63,3.5,8.18,51.82,30.95,9.05
Wii,2008,Misc,0.86,0.83,0.0,0.2,1.89,3.29,16.13,29.03,38.71,16.13
X360,2008,Misc,0.34,0.2,0.0,0.06,0.59,3.29,16.13,29.03,38.71,16.13
PS2,2008,Misc,0.21,0.16,0.0,0.05,0.43,3.29,16.13,29.03,38.71,16.13
PS3,2008,Misc,0.25,0.05,0.0,0.04,0.34,3.29,16.13,29.03,38.71,16.13
PS,1999,Role-Playing,1.37,0.44,0.0,0.08,1.88,4.03,23.53,55.88,20.59,6.229230769230769
PS2,2004,Fighting,0.92,0.72,0.0,0.24,1.88,3.94,23.81,46.03,30.16,9.066363636363635
XB,2004,Fighting,0.61,0.12,0.0,0.03,0.76,3.94,23.81,46.03,30.16,7.095
PS4,2016,Sports,1.25,0.27,0.02,0.34,1.88,3.31,7.94,48.41,26.98,16.67
XOne,2016,Sports,0.86,0.06,0.0,0.11,1.02,3.31,7.94,48.41,26.98,16.67
PS3,2016,Sports,0.06,0.04,0.0,0.02,0.13,3.31,7.94,48.41,26.98,16.67
X360,2016,Sports,0.09,0.02,0.0,0.01,0.12,3.31,7.94,48.41,26.98,16.67
PC,2016,Sports,0.0,0.01,0.0,0.0,0.01,3.31,7.94,48.41,26.98,16.67
GC,2002,Adventure,0.96,0.53,0.3,0.09,1.87,3.98,23.08,55.77,19.23,1.92
GB,2001,Adventure,0.87,0.52,0.41,0.06,1.86,4.25,32.14,60.71,7.14,2.47
PS,1999,Role-Playing,0.94,0.44,0.39,0.1,1.86,4.45,55.36,33.93,10.71,6.229230769230769
PS4,2015,Action,0.47,1.03,0.07,0.28,1.86,3.38,8.3,42.48,38.87,10.35
XOne,2015,Action,0.44,0.39,0.0,0.08,0.9,3.38,8.3,42.48,38.87,10.35
PC,2015,Action,0.03,0.11,0.0,0.01,0.14,3.38,8.3,42.48,38.87,10.35
PS,1999,Role-Playing,0.62,0.42,0.69,0.12,1.86,4.39,56.2,32.85,8.03,2.92
PS2,2004,Platform,1.33,0.49,0.0,0.03,1.85,4.18,44.25,38.51,12.64,4.6
GBA,2004,Role-Playing,1.26,0.18,0.35,0.06,1.85,3.58,11.11,50.62,30.86,7.41
PS3,2012,Shooter,0.59,0.89,0.06,0.3,1.85,4.25,41.25,47.33,9.23,2.19
X360,2012,Shooter,0.86,0.62,0.01,0.13,1.62,4.25,41.25,47.33,9.23,2.19
PC,2012,Shooter,0.16,0.22,0.0,0.05,0.43,4.25,41.25,47.33,9.23,2.19
Wii,2007,Misc,0.82,0.82,0.0,0.2,1.83,3.57,2.17,56.52,39.13,2.17
DS,2007,Misc,0.73,0.01,0.0,0.06,0.8,3.57,2.17,56.52,39.13,2.17
3DS,2014,Platform,0.61,0.34,0.79,0.09,1.83,4.02,15.0,78.33,3.33,3.33
PS3,2011,Action,1.05,0.47,0.08,0.22,1.82,4.13,27.24,61.28,9.92,1.56
PC,2012,Role-Playing,0.84,0.76,0.0,0.22,1.82,4.03,29.53,47.65,20.81,2.01
GEN,1994,Platform,1.24,0.43,0.03,0.12,1.82,4.3,43.1,48.85,5.75,2.3
PC,2001,Simulation,1.81,0.0,0.0,0.0,1.82,4.14,33.33,52.78,11.11,2.78
PS3,2009,Role-Playing,0.97,0.33,0.35,0.17,1.82,4.3,53.12,33.98,8.01,4.88
PS4,2016,Action,0.42,1.08,0.03,0.28,1.81,3.14,6.26,32.86,45.23,15.65
XOne,2016,Action,0.28,0.29,0.0,0.05,0.62,3.14,6.26,32.86,45.23,15.65
PC,2016,Action,0.08,0.1,0.0,0.02,0.19,3.14,6.26,32.86,45.23,15.65
PS2,2004,Platform,0.88,0.69,0.0,0.23,1.81,4.41,55.7,34.18,7.59,2.53
GBA,2002,Platform,0.93,0.59,0.21,0.07,1.8,3.68,14.71,67.65,2.94,14.71
XOne,2015,Racing,0.73,0.9,0.03,0.14,1.8,4.02,24.39,57.93,15.24,2.44
PS4,2014,Action,0.55,0.86,0.11,0.27,1.79,3.96,27.54,50.62,17.09,4.75
PS3,2014,Action,0.26,0.34,0.13,0.12,0.84,3.96,27.54,50.62,17.09,4.75
XOne,2014,Action,0.35,0.25,0.0,0.06,0.67,3.96,27.54,50.62,17.09,4.75
X360,2014,Action,0.25,0.16,0.01,0.04,0.46,3.96,27.54,50.62,17.09,4.75
PC,2014,Action,0.1,0.16,0.0,0.02,0.27,3.96,27.54,50.62,17.09,4.75
Wii,2007,Shooter,0.89,0.74,0.07,0.09,1.79,4.38,47.27,47.27,3.64,1.82
SNES,1994,Platform,1.26,0.39,0.08,0.06,1.79,3.95,18.6,61.63,18.02,1.74
GEN,1994,Platform,0.97,0.37,0.03,0.05,1.41,3.95,18.6,61.63,18.02,1.74
N64,2000,Platform,0.63,0.06,1.03,0.04,1.77,4.05,18.64,71.19,8.47,1.69
PS2,2004,Platform,1.06,0.54,0.0,0.16,1.76,3.98,14.0,70.0,16.0,9.7125
GBA,2004,Platform,1.02,0.38,0.0,0.06,1.46,3.98,14.0,70.0,16.0,6.6819999999999995
GC,2004,Platform,0.73,0.19,0.0,0.03,0.94,3.98,14.0,70.0,16.0,10.87857142857143
XB,2004,Platform,0.4,0.12,0.0,0.02,0.54,3.98,14.0,70.0,16.0,8.8875
GBA,2001,Role-Playing,0.93,0.38,0.4,0.06,1.76,4.35,54.74,31.58,10.53,3.16
PS2,2004,Fighting,0.86,0.67,0.0,0.22,1.76,4.38,56.52,30.43,10.14,2.9
GC,2004,Fighting,0.17,0.05,0.0,0.01,0.22,4.38,56.52,30.43,10.14,2.9
PS2,2004,Simulation,0.52,0.95,0.0,0.29,1.76,3.48,12.12,54.55,18.18,15.15
GBA,2004,Simulation,0.37,0.22,0.0,0.03,0.62,3.48,12.12,54.55,18.18,15.15
GC,2004,Simulation,0.24,0.14,0.0,0.02,0.4,3.48,12.12,54.55,18.18,15.15
XB,2004,Simulation,0.22,0.11,0.0,0.01,0.34,3.48,12.12,54.55,18.18,15.15
PS4,2016,Sports,1.25,0.17,0.0,0.32,1.75,3.04,2.99,28.36,53.73,14.93
XOne,2016,Sports,1.08,0.02,0.0,0.13,1.23,3.04,2.99,28.36,53.73,14.93
X360,2016,Sports,0.14,0.02,0.0,0.02,0.17,3.04,2.99,28.36,53.73,14.93
PS3,2016,Sports,0.07,0.02,0.0,0.02,0.12,3.04,2.99,28.36,53.73,14.93
PS3,2010,Action,0.45,0.92,0.06,0.32,1.75,3.6,12.34,50.79,29.03,7.83
X360,2010,Action,0.59,0.83,0.02,0.17,1.6,3.6,12.34,50.79,29.03,7.83
PC,2010,Action,0.0,0.1,0.0,0.02,0.12,3.6,12.34,50.79,29.03,7.83
SNES,1993,Platform,0.94,0.34,0.21,0.27,1.75,4.2,31.13,61.01,6.29,1.57
NES,1993,Platform,0.79,0.14,0.8,0.02,1.75,4.12,21.49,71.9,4.96,1.65
X360,2007,Shooter,1.0,0.53,0.03,0.18,1.75,3.56,14.73,47.29,27.52,10.47
X360,2012,Action,1.05,0.52,0.03,0.14,1.74,3.17,8.51,38.3,34.04,19.15
PS3,2012,Role-Playing,0.41,0.44,0.72,0.17,1.74,4.13,52.17,17.39,26.09,4.35
X360,2012,Role-Playing,0.42,0.23,0.07,0.06,0.79,4.13,52.17,17.39,26.09,4.35
PS4,2015,Shooter,0.61,0.78,0.06,0.27,1.74,3.75,15.03,55.01,24.95,5.01
PS2,2001,Sports,0.85,0.66,0.0,0.22,1.73,4.38,52.5,42.5,24.455405405405408,5.0
GC,2001,Sports,0.42,0.11,0.0,0.01,0.54,4.38,52.5,42.5,16.903125,5.0
XB,2001,Sports,0.32,0.09,0.0,0.02,0.43,4.38,52.5,42.5,24.223333333333336,5.0
PS4,2013,Platform,0.43,0.68,0.42,0.2,1.73,3.1,4.42,31.64,48.89,15.04
PS,1998,Action,1.48,0.2,0.0,0.05,1.73,4.16,26.32,63.16,10.53,10.429166666666665
PS4,2014,Racing,0.35,1.08,0.03,0.26,1.72,3.31,7.62,38.12,43.27,10.99
XOne,2014,Racing,0.25,0.34,0.0,0.05,0.64,3.31,7.62,38.12,43.27,10.99
X360,2014,Racing,0.06,0.14,0.0,0.02,0.22,3.31,7.62,38.12,43.27,10.99
PC,2014,Racing,0.0,0.15,0.0,0.01,0.16,3.31,7.62,38.12,43.27,10.99
X360,2012,Action,1.06,0.5,0.01,0.14,1.71,4.37,51.95,37.75,8.03,2.27
PS3,2012,Action,0.72,0.52,0.04,0.25,1.53,4.37,51.95,37.75,8.03,2.27
PC,2012,Action,0.26,0.19,0.0,0.06,0.51,4.37,51.95,37.75,8.03,2.27
Wii,2009,Misc,1.17,0.39,0.0,0.15,1.71,4.15,36.13,51.26,8.4,4.2
X360,2009,Misc,0.97,0.23,0.0,0.11,1.3,4.15,36.13,51.26,8.4,4.2
PS3,2009,Misc,0.67,0.29,0.0,0.15,1.12,4.15,36.13,51.26,8.4,4.2
PS2,2004,Simulation,0.88,0.34,0.32,0.18,1.71,4.5,62.5,25.0,12.5,12.106
PS2,2006,Sports,1.41,0.05,0.0,0.23,1.7,2.4,10.0,20.0,20.0,50.0
X360,2006,Sports,0.67,0.0,0.0,0.06,0.73,2.4,10.0,20.0,20.0,50.0
XB,2006,Sports,0.42,0.12,0.0,0.01,0.56,2.4,10.0,20.0,20.0,50.0
PSP,2006,Sports,0.34,0.0,0.0,0.03,0.37,2.4,10.0,20.0,20.0,50.0
PS4,2016,Action,0.63,0.76,0.03,0.27,1.7,3.69,17.43,48.62,26.75,7.2
Wii,2010,Platform,0.92,0.6,0.01,0.15,1.68,3.79,9.86,67.61,18.31,4.23
DS,2010,Platform,0.69,0.47,0.01,0.12,1.29,3.79,9.86,67.61,18.31,4.23
PS,1997,Shooter,0.38,0.87,0.33,0.1,1.68,4.09,27.27,54.55,18.18,11.441
PC,2010,Strategy,0.98,0.52,0.0,0.17,1.68,4.29,43.28,47.9,6.16,2.66
PC,2003,Simulation,1.67,0.0,0.0,0.0,1.68,4.19,41.94,48.39,3.23,6.45
GBA,2002,Action,1.18,0.27,0.17,0.06,1.68,4.39,59.34,30.22,5.49,4.95
PS2,2003,Sports,0.93,0.52,0.0,0.22,1.67,4.44,43.75,56.25,24.455405405405408,19.07128205128205
XB,2003,Sports,0.29,0.08,0.0,0.01,0.39,4.44,43.75,56.25,24.223333333333336,22.703000000000003
GC,2003,Sports,0.29,0.08,0.0,0.01,0.38,4.44,43.75,56.25,16.903125,10.739411764705881
GBA,2003,Sports,0.09,0.03,0.0,0.0,0.12,4.44,43.75,56.25,19.346666666666664,10.459999999999999
NES,1989,Platform,0.91,0.3,0.42,0.04,1.67,4.28,39.17,52.5,6.67,1.67
PC,2013,Strategy,0.83,0.66,0.0,0.18,1.67,4.57,60.43,36.36,3.21,14.216593406593407
PS2,2003,Platform,1.08,0.45,0.0,0.14,1.67,4.18,34.69,48.98,16.33,9.7125
GBA,2003,Platform,0.88,0.33,0.0,0.02,1.23,4.18,34.69,48.98,16.33,6.6819999999999995
GC,2003,Platform,0.74,0.19,0.0,0.03,0.95,4.18,34.69,48.98,16.33,10.87857142857143
XB,2003,Platform,0.45,0.1,0.0,0.02,0.57,4.18,34.69,48.98,16.33,8.8875
PS4,2015,Adventure,0.45,0.9,0.05,0.26,1.66,4.1,27.67,59.6,10.18,2.56
X360,2013,Action,1.01,0.5,0.01,0.13,1.66,3.83,17.14,57.78,20.35,4.73
PS3,2013,Action,0.56,0.41,0.09,0.19,1.25,3.83,17.14,57.78,20.35,4.73
PC,2013,Action,0.11,0.06,0.0,0.02,0.19,3.83,17.14,57.78,20.35,4.73
PS2,2005,Fighting,0.96,0.12,0.54,0.04,1.66,3.72,15.62,53.12,25.0,6.25
PS4,2016,Role-Playing,0.65,0.45,0.34,0.22,1.65,4.4,61.26,27.11,6.93,4.7
XOne,2016,Role-Playing,0.26,0.09,0.0,0.04,0.39,4.4,61.26,27.11,6.93,4.7
PC,2016,Role-Playing,0.0,0.07,0.0,0.0,0.07,4.4,61.26,27.11,6.93,4.7
GC,2004,Misc,0.9,0.11,0.6,0.05,1.65,3.9,17.24,68.97,6.9,6.9
PS3,2007,Action,0.57,0.72,0.06,0.29,1.65,3.89,15.38,64.62,16.92,3.08
GBA,2004,Platform,0.8,0.05,0.76,0.03,1.64,4.18,36.73,48.98,12.24,2.04
X360,2008,Shooter,1.09,0.37,0.02,0.16,1.64,3.66,11.11,52.59,31.85,4.44
PS3,2008,Shooter,0.74,0.26,0.02,0.15,1.17,3.66,11.11,52.59,31.85,4.44
PS2,2004,Action,0.54,0.88,0.0,0.22,1.64,4.4,52.17,38.24,8.28,1.31
XB,2004,Action,0.48,0.28,0.0,0.04,0.8,4.4,52.17,38.24,8.28,1.31
GC,2004,Action,0.15,0.04,0.0,0.01,0.2,4.4,52.17,38.24,8.28,1.31
PS3,2013,Adventure,0.52,0.8,0.06,0.26,1.63,3.78,21.09,49.27,22.98,6.66
GC,2001,Strategy,0.78,0.25,0.56,0.04,1.63,4.26,31.43,62.86,5.71,3.995
PS,1999,Platform,0.71,0.48,0.32,0.11,1.63,4.0,27.5,60.0,5.0,7.5
X360,2010,Simulation,1.02,0.46,0.0,0.13,1.62,2.84,15.116666666666667,36.84,36.84,26.32
GC,2003,Racing,1.01,0.11,0.45,0.04,1.62,4.38,43.24,51.35,5.41,6.7387500000000005
GC,2005,Sports,0.98,0.38,0.2,0.04,1.61,4.19,33.77,57.14,6.49,2.6
X360,2011,Shooter,0.82,0.6,0.03,0.15,1.6,3.42,6.36,46.23,38.7,8.7
PS3,2011,Shooter,0.47,0.58,0.06,0.2,1.31,3.42,6.36,46.23,38.7,8.7
PC,2011,Shooter,0.14,0.18,0.0,0.06,0.37,3.42,6.36,46.23,38.7,8.7
PS,1999,Action,0.71,0.48,0.3,0.1,1.6,4.38,59.01,30.74,4.77,5.48
Wii,2013,Action,1.05,0.41,0.0,0.14,1.6,3.09,5.45,34.55,41.82,18.18
X360,2013,Action,0.97,0.34,0.0,0.13,1.44,3.09,5.45,34.55,41.82,18.18
PS3,2013,Action,0.49,0.32,0.0,0.16,0.97,3.09,5.45,34.55,41.82,18.18
WiiU,2013,Action,0.33,0.22,0.0,0.05,0.6,3.09,5.45,34.55,41.82,18.18
3DS,2013,Action,0.17,0.1,0.0,0.02,0.29,3.09,5.45,34.55,41.82,18.18
PSV,2013,Action,0.01,0.0,0.0,0.0,0.02,3.09,5.45,34.55,41.82,18.18
PC,1996,Role-Playing,0.01,1.58,0.0,0.0,1.59,4.39,50.41,41.08,7.05,1.45
X360,2008,Action,0.71,0.69,0.02,0.18,1.59,3.45,11.22,42.43,36.3,10.05
PS3,2008,Action,0.43,0.69,0.01,0.26,1.38,3.45,11.22,42.43,36.3,10.05
PC,2008,Action,0.01,0.45,0.0,0.03,0.48,3.45,11.22,42.43,36.3,10.05
PS,1996,Fighting,0.61,0.41,0.46,0.1,1.59,4.17,50.0,33.33,8.33,8.33
3DS,2012,Action,0.88,0.26,0.34,0.1,1.58,3.96,15.38,73.08,7.69,3.85
PS3,2011,Platform,0.6,0.69,0.02,0.26,1.58,3.9,24.08,56.26,12.33,7.32
X360,2011,Platform,0.71,0.53,0.0,0.13,1.38,3.9,24.08,56.26,12.33,7.32
3DS,2011,Platform,0.44,0.47,0.01,0.09,1.02,3.9,24.08,56.26,12.33,7.32
PC,2011,Platform,0.02,0.07,0.0,0.02,0.11,3.9,24.08,56.26,12.33,7.32
WiiU,2015,Misc,0.69,0.53,0.24,0.12,1.58,3.24,14.29,33.33,33.33,19.05
PS3,2008,Action,0.58,0.45,0.34,0.2,1.57,4.12,28.52,60.83,7.94,2.71
X360,2008,Action,0.79,0.34,0.08,0.13,1.34,4.12,28.52,60.83,7.94,2.71
PC,2008,Action,0.01,0.02,0.0,0.01,0.04,4.12,28.52,60.83,7.94,2.71
XOne,2013,Action,1.06,0.35,0.01,0.15,1.57,3.41,6.54,51.63,30.07,11.76
X360,2013,Shooter,0.92,0.5,0.03,0.12,1.57,3.57,10.48,49.84,33.02,6.67
GC,2005,Misc,0.95,0.11,0.46,0.04,1.57,3.83,17.24,62.07,13.79,6.9
Wii,2011,Action,0.73,0.67,0.0,0.15,1.55,3.94,16.79,64.96,16.06,2.19
X360,2011,Action,0.54,0.39,0.0,0.09,1.03,3.94,16.79,64.96,16.06,2.19
PS3,2011,Action,0.36,0.43,0.0,0.16,0.95,3.94,16.79,64.96,16.06,2.19
DS,2011,Action,0.34,0.46,0.0,0.1,0.9,3.94,16.79,64.96,16.06,2.19
3DS,2011,Action,0.29,0.27,0.0,0.06,0.62,3.94,16.79,64.96,16.06,2.19
PSP,2011,Action,0.12,0.13,0.0,0.08,0.33,3.94,16.79,64.96,16.06,2.19
PC,2011,Action,0.03,0.0,0.0,0.0,0.03,3.94,16.79,64.96,16.06,2.19
N64,2000,Action,1.13,0.38,0.02,0.03,1.55,3.68,14.71,61.76,11.76,11.76
PS,2000,Action,0.51,0.35,0.0,0.06,0.92,3.68,14.71,61.76,11.76,11.76
Wii,2009,Misc,0.92,0.48,0.0,0.15,1.55,3.79,13.7,57.53,26.03,2.74
X360,2009,Misc,0.65,0.37,0.0,0.11,1.13,3.79,13.7,57.53,26.03,2.74
PS2,2009,Misc,0.28,0.3,0.0,0.54,1.12,3.79,13.7,57.53,26.03,2.74
PS3,2009,Misc,0.53,0.39,0.0,0.17,1.09,3.79,13.7,57.53,26.03,2.74
PC,1999,Strategy,1.55,0.0,0.0,0.0,1.55,4.37,55.0,37.14,2.86,5.0
